id,customerId,subscriptionId,amountCents,payChannel,outTradeNo,epayTradeNo,status,notifyRaw,paidAt,referrerId,catalogVersion,selection,config,expiresAt,createdAt,updatedAt
cmqiysomv0a87s1xcmk1g6m3w,cmqgpzncy000os1n09zabb2dp,cmqiysona0a89s1xc6lil7rfz,0,GRANT,gfa17817547872544676a79a4a6a,,PAID,,2026-06-18T03:53:07.254Z,,3,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareSeats"":4,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""shareSeats"":4,""shareCapacity"":8,""weight"":4,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""anthropic"":10},""bucketLimits"":{""anthropic-claude"":32152975},""weeklyBucketLimits"":{""anthropic-claude"":100192073}}",2026-06-18T03:53:07.254Z,2026-06-18T03:53:07.255Z,2026-06-18T04:00:00.033Z
cmqixrws808zbs1xcvv3r5b3e,cmqhfyxoj003os1p8l3cl4rpe,cmqixrwsg08zds1xc1zh2ef5k,0,GRANT,gfa17817530715432aa7153c232c,,PAID,,2026-06-18T03:24:31.543Z,,3,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareSeats"":2,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""shareSeats"":2,""shareCapacity"":8,""weight"":2,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""anthropic"":10},""bucketLimits"":{""anthropic-claude"":16112533},""weeklyBucketLimits"":{""anthropic-claude"":50096036}}",2026-06-18T03:24:31.543Z,2026-06-18T03:24:31.544Z,2026-06-18T03:30:00.013Z
cmqiworjk07sas1xcad0bzkbg,cmqhg2bui007gs1p8xxfyipsg,cmqiworjt07scs1xch1ot8oq9,0,GRANT,gfa17817512451684e4f191fe8a5,,PAID,,2026-06-18T02:54:05.167Z,,3,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareSeats"":1,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""shareSeats"":1,""shareCapacity"":8,""weight"":1,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""anthropic"":10},""bucketLimits"":{""anthropic-claude"":8125039},""weeklyBucketLimits"":{""anthropic-claude"":25048018}}",2026-06-18T02:54:05.167Z,2026-06-18T02:54:05.169Z,2026-06-18T03:00:00.024Z
cmqiwkp1o07o0s1xcyf5r7i0v,cmqhfx9nq002hs1p8kt1z41tr,cmqiwkp1w07o2s1xc09wgzc8d,0,GRANT,gfa17817510553081600b8e35349,,PAID,,2026-06-18T02:50:55.308Z,,3,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareSeats"":2,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""shareSeats"":2,""shareCapacity"":8,""weight"":2,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""anthropic"":10},""bucketLimits"":{""anthropic-claude"":16250078},""weeklyBucketLimits"":{""anthropic-claude"":50096036}}",2026-06-18T02:50:55.308Z,2026-06-18T02:50:55.309Z,2026-06-18T02:55:00.025Z
cmqitwmiz056us1xciv0s0n61,cmqhgkgx500sjs1p80cbmrl00,cmqitwmj8056ws1xc4ht1uav5,0,GRANT,gfa1781746573067cc93782e0df2,,PAID,,2026-06-18T01:36:13.067Z,,3,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareSeats"":1,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""shareSeats"":1,""shareCapacity"":8,""weight"":1,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""anthropic"":10},""bucketLimits"":{""anthropic-claude"":9100790},""weeklyBucketLimits"":{""anthropic-claude"":25048018}}",2026-06-18T01:36:13.067Z,2026-06-18T01:36:13.068Z,2026-06-18T01:40:00.025Z
cmqituoic054us1xctoa2oo5t,cmqhgk15i00s3s1p8abixph7u,cmqituoik054ws1xcix9hku8d,0,GRANT,gfa17817464823231a2e4b6c6eac,,PAID,,2026-06-18T01:34:42.323Z,,3,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareSeats"":1,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""shareSeats"":1,""shareCapacity"":8,""weight"":1,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""anthropic"":10},""bucketLimits"":{""anthropic-claude"":9100790},""weeklyBucketLimits"":{""anthropic-claude"":25048018}}",2026-06-18T01:34:42.323Z,2026-06-18T01:34:42.324Z,2026-06-18T01:40:00.019Z
cmqitt3rv053ks1xcpd2wiuec,cmqhg3pl8008zs1p84j3duz2s,cmqitt3s5053ms1xct9qshlam,0,GRANT,gfa1781746408795ff9af6a8b77b,,PAID,,2026-06-18T01:33:28.795Z,,3,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareSeats"":1,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""shareSeats"":1,""shareCapacity"":8,""weight"":1,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""anthropic"":10},""bucketLimits"":{""anthropic-claude"":9100790},""weeklyBucketLimits"":{""anthropic-claude"":25048018}}",2026-06-18T01:33:28.795Z,2026-06-18T01:33:28.796Z,2026-06-18T01:40:00.012Z
cmqitrpnn052ts1xcmcndmrqt,cmqhgjbqb00rhs1p8ef8h7u9f,cmqitrpnv052vs1xcofnzklcu,0,GRANT,gfa17817463438427feb14ab3a6c,,PAID,,2026-06-18T01:32:23.842Z,,3,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareSeats"":1,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""shareSeats"":1,""shareCapacity"":8,""weight"":1,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""anthropic"":10},""bucketLimits"":{""anthropic-claude"":9100790},""weeklyBucketLimits"":{""anthropic-claude"":25048018}}",2026-06-18T01:32:23.842Z,2026-06-18T01:32:23.843Z,2026-06-18T01:35:00.031Z
cmqitq9ax0527s1xca8yud9tj,cmqhg3c82008ps1p8g39k7kj5,cmqitq9b70529s1xcb3u7nsrv,0,GRANT,gfa1781746275992fe1383584436,,PAID,,2026-06-18T01:31:15.992Z,,3,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareSeats"":1,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""shareSeats"":1,""shareCapacity"":8,""weight"":1,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""anthropic"":10},""bucketLimits"":{""anthropic-claude"":9100790},""weeklyBucketLimits"":{""anthropic-claude"":25048018}}",2026-06-18T01:31:15.992Z,2026-06-18T01:31:15.994Z,2026-06-18T01:35:00.025Z
cmqitouu00518s1xc0h9n85am,cmqgqlaei002ms1qgex86gi1t,cmqitouu9051as1xcvzaukrlj,0,GRANT,gfa178174621058324f15ed3c089,,PAID,,2026-06-18T01:30:10.583Z,,3,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareSeats"":1,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""shareSeats"":1,""shareCapacity"":8,""weight"":1,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""anthropic"":10},""bucketLimits"":{""anthropic-claude"":9100790},""weeklyBucketLimits"":{""anthropic-claude"":25048018}}",2026-06-18T01:30:10.583Z,2026-06-18T01:30:10.585Z,2026-06-18T01:35:00.018Z
